Employee #,Month,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate,Hourly Rate,Date,Time-In,Time-Out
1,January,90000.00,1500.00,2000.00,1000.00,45000.00,535.71,01/09/2022,8:00,17:00
2,January,60000.00,1500.00,2000.00,1000.00,30000.00,357.14,01/11/2022,0:00,0:00
3,January,60000.00,1500.00,2000.00,1000.00,30000.00,357.14,01/12/2022,8:00,17:00
4,January,60000.00,1500.00,2000.00,1000.00,30000.00,357.14,02/09/2022,8:00,17:00
5,January,52670.00,1500.00,1000.00,1000.00,26335.00,313.51,02/11/2022,8:00,17:00
6,January,52670.00,1500.00,1000.00,1000.00,26335.00,313.51,02/12/2022,8:00,17:00
10003,January,42975.00,1500.00,800.00,800.00,21487.50,255.80,03/10/2022,8:00,17:00
10005,January,22500.00,1500.00,500.00,500.00,11250.00,133.93,03/11/2022,8:00,17:00
10006,June,22500.00,1500.00,500.00,500.00,11250.00,133.93,04/10/2022,8:00,17:00
10,June,52670.00,1500.00,1000.00,1000.00,26335.00,313.51,04/11/2022,8:00,17:00
10004,June,50825.00,1500.00,1000.00,1000.00,25412.50,302.53,05/09/2022,8:00,17:00
10011,June,38475.00,1500.00,800.00,800.00,19237.50,229.02,05/10/2022,8:00,17:00
10007,June,24000.00,1500.00,500.00,500.00,12000.00,142.86,05/12/2022,8:00,17:00
10008,June,24000.00,1500.00,500.00,500.00,12000.00,142.86,06/09/2022,8:00,17:00
10013,June,53500.00,1500.00,1000.00,1000.00,26750.00,318.45,06/10/2022,8:00,17:00
10002,June,42975.00,1500.00,800.00,800.00,21487.50,255.80,06/12/2022,10:00,17:00
10012,June,41850.00,1500.00,800.00,800.00,20925.00,249.11,07/09/2022,8:00,17:00
10009,June,22500.00,1500.00,500.00,500.00,11250.00,133.93,07/10/2022,10:00,17:00
10010,June,22500.00,1500.00,500.00,500.00,11250.00,133.93,07/11/2022,10:00,17:00
10014,June,23250.00,1500.00,500.00,500.00,11625.00,138.39,07/12/2022,8:00,17:00
10015,June,23250.00,1500.00,500.00,500.00,11625.00,138.39,08/09/2022,10:00,17:00
10016,June,24000.00,1500.00,500.00,500.00,12000.00,142.86,08/11/2022,8:00,17:00
10017,June,22500.00,1500.00,500.00,500.00,11250.00,133.93,08/12/2022,0:00,0:00
10018,June,22500.00,1500.00,500.00,500.00,11250.00,133.93,09/09/2022,8:00,17:00
10019,June,24000.00,1500.00,500.00,500.00,12000.00,142.86,09/11/2022,8:00,17:00
10020,July,24750.00,1500.00,500.00,500.00,12375.00,147.32,09/12/2022,8:00,17:00
10021,July,24750.00,1500.00,500.00,500.00,12375.00,147.32,09/13/2022,8:00,17:00
10022,July,24000.00,1500.00,500.00,500.00,12000.00,142.86,09/14/2022,8:00,17:00
10023,July,22500.00,1500.00,500.00,500.00,11250.00,133.93,09/15/2022,8:00,17:00
10024,July,22500.00,1500.00,500.00,500.00,11250.00,133.93,09/16/2022,8:00,17:00
10025,July,22500.00,1500.00,500.00,500.00,11250.00,133.93,09/19/2022,10:00,17:00
32,July,52670.00,1500.00,1000.00,1000.00,26335.00,313.51,09/20/2022,8:00,17:00
33,July,52670.00,1500.00,1000.00,1000.00,26335.00,313.51,09/21/2022,8:00,17:00
34,July,52670.00,1500.00,1000.00,1000.00,26335.00,313.51,09/22/2022,8:00,17:00